분야,분야 내 카테고리,서브 카테고리,순위,책이름,저자,줄거리,이미지
예술/대중문화,사진,사진이론과 실기,11,사진 잘 찍는 법,김홍희,"셔터가 끊어지는 탄지의 순간당신은 어디에 있는가지금까지 통용되어왔던 사진 룰을 깨부수는 못된 사진, 차별화된 단 한 장의 사진 잘 찍는 법을 담은 69번의 수업 《사진 잘 찍는 법》이 출간되었다. 앉으면 쓰고 서면 찍는 ‘글 쓰는 사진가’ 김홍희의 사진론을 한 권에 담았다. 자신만의 사진 세계를 구축한 좋은 작가의 철학과 경험이 담긴 사진의 교과서 같은 책이다. 작가가 쿠바에서 찍은 흑백사진 40여 점을 수록하여 사진집으로서의 소장 가치 역시 더했다.",https://bookthumb-phinf.pstatic.net/cover/146/330/14633043.jpg?type=m5
예술/대중문화,사진,사진이론과 실기,12,형편없는 영상을 만들지 않는 방법,스티브 스톡맨,"2년 동안의 영화 학교 과정을 단 248페이지로친구의 생일 파티나 결혼식을 촬영하거나 회사 광고 영상을 제작하거나 입학 또는 입사 지원 영상을 만들거나 유튜브에서 돌풍을 일으키는 영상을 만들고 싶다면 이 책을 보라. 어떠한 촬영 도구라도 상관없이 더 나은 영상 제작을 위한 방법을 담은 이 책을 통해 영상 언어를 익히고 영상 제작 기법을 한 단계 더 발전시킬 수 있다.“사람들이 보고 싶어 하는 영상을 만드는 방법을 소개한 책.” -데이비드 굿맨, TV만화 <패밀리 가이>의 총괄제작자/수석작가 “이 책은 영상을 만들고자 하는 사람에게 완벽한 선물이 될 것이다.” -롭 아넷, WWW.MYDAMNCHANNEL.COM의 창립자/CEO",https://bookthumb-phinf.pstatic.net/cover/144/678/14467868.jpg?type=m5
예술/대중문화,사진,사진이론과 실기,13,"카메라, 시작해보려 합니다",고이시 유카,"이보다 더 쉽고 재미있는 카메라 설명서는 없다! 복잡한 기능과 어려운 전문용어 앞에서 좌절했던 사람들을 위한최고의 카메라 입문서‘사진을 잘 찍고 싶은데 뭐부터 시작해야 할까?’ ‘왠지 모르게 어설픈 내 사진 어디가 잘못된 걸까’ 전문가처럼 잘 찍은 SNS에 올라오는 사진들을 보며 한번쯤 이런 고민을 해봤을 것이다. 큰맘 먹고 산 카메라로 눈앞에 멋진 풍경을 찍어보지만 정작 찍힌 사진은 생각했던 것과 전혀 달라서 자신의 손재주를 탓했던 사람들, 사진을 배우려고 책을 펼쳐보지만 ‘셔터스피드’가 뭔지 ‘화이트밸런스’가 뭔지 도통 알 수 없는 용어들 앞에서 머리를 싸맸던 사람들의 고민을 해결해줄 입문서가 출간되었다. 『카메라, 시작해보려 합니다』는 복잡한 기능과 어렵게만 느껴지는 전문용어 앞에서 좌절했던 사람들도 ..",https://bookthumb-phinf.pstatic.net/cover/142/576/14257640.jpg?type=m5
예술/대중문화,사진,사진이론과 실기,14,별과 달 촬영입문,다나카 타츠야,"“밤하늘 사진을 누구나 쉽고 예쁘게 찍을 수 있도록 알려주는 책”「별과 달 촬영입문」은 밤하늘에 떠오르는 아름다운 피사체들을 촬영하는 방법과 노하우를 쉽고 재미있게 알려주는 책입니다. 별하늘 촬영을 막연히 어렵고 전문적인 장비가 있어야 가능하다고 생각하는 아마추어 사진가를 위해 우리가 일상에서 사용하는 카메라와 렌즈, 기본 장비만으로 신비로운 밤의 세계를 멋지게 담아내는 방법을 피사체별로 완벽하게 설명함으로써 여러분을 새로운 촬영의 세계로 안내합니다.",https://bookthumb-phinf.pstatic.net/cover/141/955/14195592.jpg?type=m5
예술/대중문화,사진,사진이론과 실기,15,좋은 사진을 만드는 ZAKO의 여행 사진 잘 찍는 법,ZAKO그룹,"여행사진을 찍는다는 것은 “세상에 있는 모든 것’을 찍는 사진가가 될 수 있다는 것!저자는 이 책을 집필하기 위해 오랫동안 간직해온 보물을 들쳐보았다. 그동안 모아 놓은 외장하드가 바로 그것이다. 필름카메라로 찍은 사진부터 130만 화소의 디지털카메라로 찍은 사진, 최신 스마트폰으로 찍은 사진까지, 그 수가 엄청났다. 그리고 그 보물을 하나하나 살펴보면서 놀라운 사실을 깨닫게 된다. 바로 대부분의 사진이 여행사진의 범주에 속한다는 것을 말이다.여행사진이라고 해서 꼭 특별한 것이 아니다. 가까운 국내 여행, 지하철을 타고 다닌 반나절의 출사 여행, 뚜벅뚜벅 동네를 탐방하면서 찍은 사진도 모두 여행사진이다. 오늘은 차 안에서, 내일은 낯선 도시의 골목 어딘가에서 세상 모든 것을 사진에 담는 것이 여행 사진의 묘..",https://bookthumb-phinf.pstatic.net/cover/141/255/14125540.jpg?type=m5
예술/대중문화,사진,사진이론과 실기,16,"사진, 그리고 거짓말",주기중,"“나만의 프레임으로 세상을 편집하라!”<사진, 그리고 거짓말>은 ‘다름’에 중점을 두고 쓴 사진이론서다. 사진은 눈으로 보고 마음으로 찍는다. 누가 찍던 간에 찍는 순간 사진가의 의도가 개입된다. 역설적이지만 사진의 가치는 같은 대상을 어떻게 바꿔 놓았느냐 달려 있다. 저자는 좋은 사진을 위해서는 자신만의 프레임으로 세상을 편집하는 ‘착한 거짓말’을 하라고 말한다.눈과 렌즈의 구조도 차이가 난다. 사람의 눈과 카메라의 눈은 다르다. 사진 공부는 눈과렌즈의 차이를 이해하는 것에서부터 시작한다. 책 전반부에는 입체감과 공간감을 다루는 기술적인 부분을 다룬다. 작가는 직접 찍은 사진을 보여주며 나만의 사진을 찍는 방법을 알려준다. 주기중은 ‘글 쓰는 사진가’답게 속담이나 유행어 등 일상의 언어로 어려운..",https://bookthumb-phinf.pstatic.net/cover/141/174/14117454.jpg?type=m5
예술/대중문화,사진,사진이론과 실기,17,"사진 강의, 사진 잘 찍는 법",김원섭,"좋은 사진은 기본기를 현장에서 활용할때 나온다.이 책의 내용은 사진 이론과 현장 경험, 사진 강의를 토대로 했다. 지은이는 대학원에서 사진을 공부한 후 여행 기자를 지냈고 지금은 사진가, 사진 강사로 활동하고 있다. 2003년부터 지금까지 세계 110개 나라 350여 지역을 여행하고, 2010년부터 한겨례교육문화센터, 인프레임, 양주시평생학습관 등에서 사진을 가르치고 있다. 그동안의 촬영과 강의를 통해 쌓은 노하우를 토대로 이 책을 내었다. 이 책은 좋은 사진을 찍기 위한, 빛에 대한 이해와 활용, 상황에 따른 노출법과 렌즈사용법, 단순하고 세련된 프레임을 구성하는 법, 색이 가지고 있는 특성과 색채심리를 이용하는 법, 대상에 감정이입하고 내사와 합일에 이르는 법, 사진적 성장을 위한 방법들, 주제작업과 포..",https://bookthumb-phinf.pstatic.net/cover/140/672/14067211.jpg?type=m5
예술/대중문화,사진,사진이론과 실기,18,사진 컬러 이해와 활용,브라이언 피터슨,"좋은 사진을 찍으려면 ‘컬러’를 이해하라베테랑 사진가이자 교육자인 브라이언 피터슨이 자신만의 컬러 이론을 공개한다. 여러 가지 빛 조건에서 다채로운 사진을 촬영하는 법, 색을 주제로 한 강렬한 사진을 찍는 법, 노출과 플래시를 가장 효과적으로 이용하는 법 등 컬러와 관련하여 가장 핵심적인 주제를 다룬 책. 『사진 컬러 이해와 활용』은 구체적이면서 흥미로운 설명과 예시로 사진가들이 다음 단계로 발전하는 데 필요한 모든 것을 전수한다.",https://bookthumb-phinf.pstatic.net/cover/140/518/14051844.jpg?type=m5
예술/대중문화,사진,사진이론과 실기,19,이채로운 사진강의,이준섭,"모든 사진가를 위한 핵심적인 강의현실이 사진을 통해 표현될 때 달라지는 5가지 핵심요소인 프레임, 노출, 심도, 색 그리고 MOVEMENT 등 사진에서 가장 중요한 내용을 군더더기 없이 체계적이고 알기 쉽게 알려주는 사진가의 필수 지침서입니다. 실전 촬영에 바로 적용할 수 있는 실용적인 내용이론적이고 기술적인 내용만을 전달하는 것이 아니라 실제 카메라의 뷰파인더를 통해 보이는 장면과 노출계의 움직임 그리고 노출값의 사례를 하나하나 설명함으로써 어디에서도 만나지 못했던 실용적인 내용으로 구성되어 있습니다.어렵고 복잡한 내용을 너무나 쉽게 풀어내는 이채로운 사진강의누구나 궁금해하지만 아무도 잘 알려주지 않던 카메라와 사진에 대한 필수지식을 우리 일상생활에 비유해서 쉽게 풀어내고 설명하는 알차고 이채로운 강의노트..",https://bookthumb-phinf.pstatic.net/cover/140/089/14008930.jpg?type=m5
예술/대중문화,사진,사진이론과 실기,20,20세기 사진 예술,쾰른 루트비히 미술관,"한 권의 책으로 세계적인 20세기 사진 미술관의 컬렉션을 소장하다9,300점의 방대한 사진 컬렉션에서 엄선한 860점의 작품들쾰른에 자리한 루트비히 미술관은 뛰어난 미술 작품들로 유명세를 떨치지만, 소장 중인 사진 컬렉션만으로도 대단히 가치 있는 명소다. 루트비히 미술관의 사진 컬렉션은 탁월한 안목을 가진 수집가 L. 프리츠 그루버, 방대한 누드사진을 소장했던 우베 샤이드 등 유명 수집가들의 기증을 통해 그 가치를 높여 왔다. 루트비히 미술관은 손꼽히는 작가들의 대표 작품부터 젊은 작가들의 실험적인 작품까지 다양한 장르, 다양한 예술관을 바탕으로 한 저작들을 소장하고 있으며, 소장 작품 수만 해도 약 9,300여 점에 달한다. 루트비히 미술관의 소장품 가운데 860점을 추려 발간한 《20세기 사진 예술》은 ..",https://bookthumb-phinf.pstatic.net/cover/139/110/13911033.jpg?type=m5
