분야,분야 내 카테고리,서브 카테고리,순위,책이름,저자,줄거리,이미지
예술/대중문화,사진,사진작가/사진집,51,고양이와 허벅지,아오야마 유키,따뜻하고 부드러운 행복한 관계 『고양이와 허벅지』. 허벅지 사이로 끼어 들어온 귀여운 삼색 고양이 둥글게 몸을 말아 누운 검은 고양이 편화롭게 늘어진 얼룩 고양이 혀를 할짝거리는 하얀 고양이… 고양이와 소녀의 농밀한 시간을 감각적으로 잘라낸 완전히 새로운 사진집이다. 애호가들의 뜨거운 성원을 받았던 아오야마 유키의 ‘고양이와 허벅지’ 사진전을 그대로 단행본화 하였다.,https://bookthumb-phinf.pstatic.net/cover/133/638/13363814.jpg?type=m5
예술/대중문화,사진,사진작가/사진집,52,누구 발이냐옹,PIE International,"나만 없어, 고양이! 나도 있다, 고양이 솜방망이!심쿵 주의! 당신의 마음에 행복을 선사해줄 귀엽고 사랑스러운 책, 《누구 발이냐옹》이 출간되었습니다. 둥그스름한 모양, 보들보들한 털, 말랑말랑 볼록살…. 한 번도 만져보지 않은 사람은 있어도 한 번만 만져본 사람은 없다는 마성의 고양이 발. 그중에서도 고양이의 앞발 사진을 한데 모은 《누구 발이냐옹》은 각양각색 고양이 앞발을 모은 일본 사진집 《ねこのおてて》에 [집사와 꽁냥꽁냥]의 배성태, [뽀짜툰]의 채유리, 유튜브 크리에이터 ‘꼬부기아빠 MY PET DIARY’와 ‘김메주와 고양이들 MEJOO AND CATS’, 인스타그래머 ‘1ROOM 1CAT’으로 잘 알려진 국내 집사 5명과 그들의 사랑스러운 고양이들의 사진 20컷을 추가로 수록한 특별 한국판입니다..",https://bookthumb-phinf.pstatic.net/cover/132/990/13299067.jpg?type=m5
예술/대중문화,사진,사진작가/사진집,53,보스토크,보스토크 프레스 편집부,"당신과 나의 사랑을 사진으로 찍는다면, 그것은 어떤 모습일까. 그 애틋함과 그리움이, 달콤함과 간질간질함이, 욕망과 잔혹함을 담고 사진 속에서 서글프게 반짝이는 사랑의 눈동자들에 대하여사랑이라는 감정을 사진으로 찍을 수 있을까? 서로를 바라보는 애틋한 눈빛, 격렬한 입맞춤, 영원히 떨어지지 않겠다는 듯 움켜쥔 손목을 사진에 담는다면, 우리는 불꽃처럼 반짝이며 명멸하던 사랑의 어떤 흔적을 지니게 되는 것일까. 일곱 번째 『보스토크 매거진』은 사랑이라는 불가해한 주제를 향해 카메라를 들고 과감하게 파고드는 국내외의 사진가들의 작업과, 사진과 사랑의 접면을 탐색하는 다양한 필자들의 글을 수록한다. 특집 외에도 시인 김소연, 뮤지션 요조, 소설가 정지돈, 영화평론가 유운성, 기계비평가 이영준, 디자인 저술가 전가경..",https://bookthumb-phinf.pstatic.net/cover/132/533/13253317.jpg?type=m5
예술/대중문화,사진,사진작가/사진집,54,게르트너 부부의 여행,지뷜레 펜트,"치매에 걸린 아내와 함께 떠난, 어느 노부부의 마지막 여행 사진들 『게르트너 부부의 여행』. 여행을 좋아하는 게르트너 부부는 이번 여름에도, 늘 그래왔던 것처럼 캐러밴을 타고 여행을 떠나기로 했다. 이전과 달라진 점이 두 가지 있다면, 지금 아내가 치매를 앓고 있다는 것, 그리고 사진작가가 동행을 한다는 것이었다. 자기만의 세계에 살고 있는 아내 엘케의 천진한 표정과, 아내가 너무 멀리 벗어나지 않게 지켜보는 남편 로타어의 깊은 눈빛 그리고 그들을 둘러싼 아름다운 발트해 지역의 자연이 작가의 카메라에 포착되었다. 두 부부의 잔잔한 일상처럼 아름답게 빛나는 순간들이 담긴 이 사진집은 결국 그들의 마지막 여행 기록으로 남았다.",https://bookthumb-phinf.pstatic.net/cover/131/689/13168909.jpg?type=m5
예술/대중문화,사진,사진작가/사진집,55,For My Dear 이동욱 화보집,이동욱,"배우 생활 18년 만에 내놓은 첫 화보집 [FOR MY DEAR 이동욱 화보집]. 2017년 4월 15일~7월 23일, 아시아 6개 도시 투어의 기록, 어디서도 보지 못한 배우 이동욱의 민낯을 만난다! 올해 초, 드라마 <도깨비>로 주목을 받은 배우 이동욱이 아시아 6개 도시를 돌며 팬들을 현장에서 직접 만났다. 서울에서 시작한 투어는 해외에서는 싱가포르에서 시작해 홍콩, 인도네시아, 태국, 일본, 대만을 마지막으로 대단원의 막을 내렸다. 약 4개월 동안 7개 도시에서 ‘FOR MY DEAR’ 아시아 투어를 성공적으로 개최한 것. 특히, 이번 아시아 투어에서는 이동욱을 향한 현지 언론사들의 열띤 취재 경쟁이 펼쳐졌으며, 그가 가는 곳곳마다 팬들의 환호가 끊이지 않아 그 인기를 실감할 수 있었다.아..",https://bookthumb-phinf.pstatic.net/cover/128/634/12863481.jpg?type=m5
예술/대중문화,사진,사진작가/사진집,56,순간,박하은,▶ 사진에 관한 내용을 담은 전문서적입니다.,https://bookthumb-phinf.pstatic.net/cover/127/676/12767673.jpg?type=m5
예술/대중문화,사진,사진작가/사진집,57,"라이카, 영감의 도구",박지호,"아티스트가 세상을 감각하는 아주 특별한 방식‘일상의 기록이 예술이 된다’여기 가장 강력한 7인의 아티스트가 있다. 박찬욱, 하시시박, 김종관, 백영옥, 김동영, 더콰이엇, 유영규. 이들은 영화감독, 사진작가, 소설가, 여행작가, 뮤지션, 제품 디자이너로서, 각 분야에서 매력적이고 깊은 울림을 주는 작품으로 많은 대중들을 만나왔다. 그런데, 자신만의 시선으로 세상을 포착하고 예술로 승화시켜온 이들에게는 한 가지 공통점이 있다. 일상 속에서, 산책을 하거나 여행을 다니는 와중에도 늘 주변을 세심하게 살피고 순간을 ‘사진’으로 포착한다는 것, 그리고 라이카 카메라를 사용한다는 것. 이들은 라이카로 어떤 영감을 낚아채며, 어떻게 자신의 예술과 일상 사이에서 그것을 채록해왔을까?평소 이들의 예술을 즐겨 감상해온 박지..",https://bookthumb-phinf.pstatic.net/cover/128/453/12845370.jpg?type=m5
예술/대중문화,사진,사진작가/사진집,58,나다운 게 아름다운 거야,케이트 T. 파커,"네 그대로의 모습이 가장 아름다워!엄마가 찍은 딸들의 사진 한 장이 시작이었다. 전형적인 미디어 속의 소녀들이 아닌 축구를 하고, 말을 타고, 친구들과 흙탕물에서 뛰어다니는 아이들의 모습이 담긴 사진은 SNS를 통해 퍼져 나갔고, 이는 #STRONGISTHENEWPRETTY라는 해시태그가 달리며 미국 전역의 소녀들과 소녀였던 어른들에게 인기를 얻었다. 거침없고 자연스럽고 솔직한 소녀들의 사진에 전 세계 여성들은 열렬한 지지를 보냈다.그렇게 딸과 그 친구들의 일상을 찍은 사진이 인기를 얻게 된 케이트 파커는 미국 전역의 소녀들을 카메라에 담기 시작했다. 『나다운 게 아름다운 거야』에는 세 살부터 열여덟 살까지 나이도 제각각, 인종도 다양하지만 ‘아름다움’이라는 공통점을 가진 소녀들이 등장한다. 남자아이들 틈에..",https://bookthumb-phinf.pstatic.net/cover/126/852/12685234.jpg?type=m5
예술/대중문화,사진,사진작가/사진집,59,Waiting Q + 포토카드 1매,플레디스 엔터테인먼트,[앞표지 / 뒤표지],https://bookthumb-phinf.pstatic.net/cover/125/181/12518145.jpg?type=m5
예술/대중문화,사진,사진작가/사진집,60,보스토크 5호,보스토크 프레스 VOSTOK PRESS 편집부,"날것 그대로의 감각이 담긴 스냅 사진의 덧없는 아름다움!사진잡지 『보스토크(Vostok)』 제5호. 이번 호에서는 스냅 사진을 다룬다. 스냅 사진은 삶의 순간을 예민하게 포착한 사진들로, 특정한 예술적 의도나 보도, 고발 등의 목적 등을 지니지 않은 ‘날것의’ 사진을 말한다. 이 사진들은 아마추어와 프로의 경계를 넘나들고, 예술과 예술 아닌 것 사이를 오가는 독특하고 자유로운 성격을 지닌다. 거대한 조명이나 정교한 촬영 장비, 독창적인 예술적인 개념 없이도 스냅 사진은 우리의 눈을 거침없이 파고든다. 이런 사진들이 보여주는 날것 그대로의 감각과 젊음의 태도는 이미 인스타그램과 패션 매거진, 심지어는 전시와 출판에 이르기까지 폭발적인 반향을 보이고 있다.『보스토크(Vostok)』제5호는 지금 가장 뜨겁고 다채..",https://bookthumb-phinf.pstatic.net/cover/125/286/12528629.jpg?type=m5
예술/대중문화,사진,사진작가/사진집,61,Waiting Q,플레디스 엔터테인먼트,"뉴이스트의 지난 시간들과 현재로 이어지는 기다림에 대한 이야기, 뉴이스트W 화보집입니다.",https://bookthumb-phinf.pstatic.net/cover/124/955/12495575.jpg?type=m5
예술/대중문화,사진,사진작가/사진집,62,사진으로 들어간 사람들,"이여신, 박종한","역사를 움직이는 순간에는 늘 사진이 함께 했다!《그림으로 들어간 사람들》의 저자 이여신과 《클래식 거장과의 대화》의 저자 박종한이 함께 고민하고 엄선한 사진과 사진 속 인물에 얽힌 역사적인 이야기들을 담은 『사진으로 들어간 사람들』. 세기를 대표하는 거장과 시사성이 강한 퓰리처 상 수상작, 라이프 지 기고 사진 등을 만나볼 수 있는 책이다. 다양한 사진들을 보며 근대와 현대의 역사적 사실들과 세계를 돌아볼 수 있다.",https://bookthumb-phinf.pstatic.net/cover/120/725/12072504.jpg?type=m5
예술/대중문화,사진,사진작가/사진집,63,THE ART OF 폴아웃 4,베데스다 소프트웍스,"베데스다 게임 스튜디오의 오픈월드 게임 ‘폴아웃 4’가 만들어진 과정을 담은 베데스다 공식 게임 아트북이다. 게임 제작 비하인드 스토리와 콘셉트 아트를 제작 준비 과정, 세계관, 인물, 생명체, 무기, 운송 수단, 배경 조성, 일러스트레이션에 나눠 담아, ‘폴아웃 4’ 게임에 대한 모든 궁금증을 해결해준다. ‘핵전쟁 이후의 세계는 어떤 모습일까?’라는 기발한 물음에서 시작한 폴아웃 시리즈는 독특한 세계관과 놀라운 자유도로 많은 플레이어들의 사랑을 받아왔다. 시리즈의 명성을 이어 베데스다에서 2015년 출시된 폴아웃4는 권위 있는 게임 시상식인 DICE와 BAFTA에서 최고 영예를 얻고 50여 개의 게임상을 받은 RPG로, 국내에 정식 한글판이 발매되지 않았음에도 불구하고 유저들이 직접 한글 패치를 만들었을 ..",https://bookthumb-phinf.pstatic.net/cover/121/019/12101910.jpg?type=m5
예술/대중문화,사진,사진작가/사진집,64,제인 버킨,"제인 버킨, 가브리엘 크로포드","사랑보다 강한, 고급한 우정의 세월. 그 시선으로 바라본 제인 버킨의 내밀한 일기, 제인 버킨의 B컷들. 제인 버킨. 영국 런던 출생으로 프랑스에서 활동하는 가수이자 배우 감독, 세르주 갱스부르의 영원한 뮤즈, 배우 샤를로트 갱스부르의 어머니, 에르메스 버킨백의 주인공…. 이 책은 프렌치 시크의 아이콘 제인 버킨과 그녀의 분신 같은 친구이자 사진작가인 가브리엘 크로포드가 제인 버킨의 삶을 180여 장의 멋진 사진들과 둘만이 아는 이야기로 기록한 매혹적인 사진에세이다.두 사람은 1960년대 스윙 열풍이 휩쓸고 있던 런던에서 처음 만난 후 기쁠 때나 슬플 때나 모든 순간을 함께하며 우정을 가꿔왔다. 영국의 떠오르는 젊은 아티스트였던 제인 버킨이 세르주 갱스부르와 함께 프랑스로 떠나, 그곳에서 세 딸을 키우며 배..",https://bookthumb-phinf.pstatic.net/cover/117/351/11735104.jpg?type=m5
예술/대중문화,사진,사진작가/사진집,65,라이언 맥긴리 컬렉션: 혼자 걷는,라이언 맥긴리,"라이언 맥긴리 여행 사진집 공식 출간!청춘을 기록하는 사진작가 라이언 맥긴리의 여행 사진집 《혼자 걷는》이 국내 공식 출간되었다. 수록된 200여 점의 사진들은 그가 천착하는 벌거벗은 청춘의 허무함과 반짝거림을 동시에 보여준다. 라이언 맥긴리는 자신과 동시대를 살아가는 세대를 가장 제대로 이해하고 이야기하는 예술가로, 그의 사진 속 벌거벗은 청춘들은 극단적인 대자연 속을 뛰고, 매달리고, 눕고, 추락하고, 떠다니며 생의 가장 강렬한 순간을 만끽한다. 방향성을 종잡을 수 없는 라이언 맥긴리의 키드들은 맹렬한 기세로 이 순간과 이 공간으로부터 ‘멀리 더 멀리’ 도약하며 우리를 자신들의 시간으로 초대한다.독특한 스냅 사진으로 인해 볼프강 틸먼즈 이후 가장 주목받은 작가로 평가받는 라이언 맥긴리는, 소호의 버려진 ..",https://bookthumb-phinf.pstatic.net/cover/115/558/11555856.jpg?type=m5
예술/대중문화,사진,사진작가/사진집,66,소녀 사진을 찍는 방법,아오야마 유키,"「소녀 사진을 찍는 방법」은 「스쿨걸 콤플렉스」, 「솔라리맨 시리즈」 등으로 인물 사진, 모델 사진의 새로운 영역을 개척해온 사진가 아오야마 유키가 인물 사진, 미소녀 사진 촬영에 관한 자기 고유의 방법론을 알기 쉽게 해설한 첫 번째 사진 기법서이다. 모델 섭외와 선정, 로케이션, 여성의 몸과 의상과 스타일링, 모델과 촬영 장소를 조화시키는 방법, 인물의 매력을 담아내는 참신한 앵글, 자연스러운 표정과 포즈를 끌어내는 방법 등 아오야마 유키가 10여 년 동안 유명 모델에서 일반인, 학생에서 직장인까지 다양한 모델들을 사진으로 담아내며 구축한 노하우들이 알기 쉽게 해설되어 있다.",https://bookthumb-phinf.pstatic.net/cover/114/438/11443807.jpg?type=m5
예술/대중문화,사진,사진작가/사진집,67,배드 대드,웨스 앤더슨,"웨스 앤더슨 아트쇼에 초대합니다단 여덟 편의 작품으로 할 하틀리와 쿠엔틴 타란티노 이후 가장 독창적인 영화 세계를 이룬 미국 영화계 감독이자 ‘지금 당장 죽어도 영화사에 기록될 감독’이라는 평가를 얻은 천재 영화감독 웨스 앤더슨의 첫 번째 아트 컬렉션북『배드 대드(BAD DADS)』. 이 책은 웨스 앤더슨이 직접 참여한 유일한 팬북으로, 이 책에 참여한 111명의 창조적인 아티스트는 웨스 앤더슨 작품 세계에서 받은 독특한 영감을 가장 감각적인 형태로 고스란히 담아내었다.웨스 앤더슨 작품의 미학을 완벽하게 구현했다는 찬사를 받는 아트 컬렉션북인 이 책은 일러스트레이터 막스 달튼의 그림으로 시작한다. 111명의 아티스트들은 웨스 앤더슨의 영화 속 캐릭터와 장면들을 250여 개의 독창적인 그림, 일러스트레이션, ..",https://bookthumb-phinf.pstatic.net/cover/113/555/11355512.jpg?type=m5
예술/대중문화,사진,사진작가/사진집,68,깊고 충실한 사진 강의,"바바라 런던, 짐 스톤","깊고 충실한 사진 강의 제대로 만든 음식 같은 사진 입문서하늘의 별처럼 사진의 역사를 빛낸 작가들의 작품으로 사진을 배운다. ... 외젠 아제, 앨프리드 스티글리츠, 아우구스트 잔더, 에드워드 웨스턴, 워커 에번스, 로버트 카파, 앙리 카르티에 브레송, 유진 스미스, 로버트 프랭크 ... 옛 거장들뿐만 아니라, 우리와 동 시대를 살고 있는 요제프 쿠델카, 신디 셔먼, 제프 월, 스티븐 쇼어, 애니 레보비치 등 현대 거장들까지. 억지스럽게 만든 예제가 아니라, 하늘의 별처럼 사진의 역사를 빛낸 작가의 작품들이 책 속에서 사진은 이런 것이라고 가득히 말하고 있다.",https://bookthumb-phinf.pstatic.net/cover/114/328/11432895.jpg?type=m5
예술/대중문화,사진,사진작가/사진집,69,보스토크,보스토크 프레스 편집부,"새로운 사진 잡지 『보스토크 매거진』의 창간호, 「페미니즘 : 반격하는 여성들」. 『보스토크 매거진』은 새롭게 탄생한 젊고 대중적인 사진 잡지다. 특히 사진과 현대미술과 디자인, 문학 등의 경계를 넘나드는 생생한 지식과 작업을 다룬다. 창간호의 주제는 「페미니즘 : 반격하는 여성들」로, 기존 사진계의 성적 위계를 전복하는 국내외 여성 작가와 필자들의 사진과 글을 폭넓게 싣고 있다. 한편으로 문학비평가 황현산, 사회학자 서동진, 잡지의 편집인이기도 한 북 디자이너 정병규 등 각 분야를 대표하는 탁월한 필자들의 글이 알차게 실려 있어 읽는 재미를 더한다.",https://bookthumb-phinf.pstatic.net/cover/113/683/11368321.jpg?type=m5
예술/대중문화,사진,사진작가/사진집,70,아가씨 가까이,박찬욱,"박찬욱 영화의 저편, 사진 너머에 담긴 그의 시선박찬욱 감독의 첫 번째 단독 사진집 『아가씨 가까이』. 영화 《아가씨》를 연출하는 동안 직접 찍은 사진을 모아 엮은 사진집으로, 렌즈 너머로 본 박찬욱의 세계가 고스란히 담겨 있는 사진을 통해 마침내 독자 역시 감독의 시선에 머물며 세상을 바라보게 하는 의미 있는 책이다. 작품을 기획하는 단계인 2013년 4월 경기도 파주부터, 영화음악을 녹음하러 간 2016년 3월 베를린까지의 시공간이 망라되어 있다.영화감독 박찬욱이 아닌, 사진작가로서의 박찬욱을 만날 수 있는 책 『아가씨 가까이』. 이 책은 영화의 안과 밖의 기록으로, 3년간 직접 찍고 엄선한 감독의 시선이 닿아 있는 110여 컷의 사진이 담겨 있다. 대학 시절부터 영화 연출을 하는 지금까지 사진을 찍어온..",https://bookthumb-phinf.pstatic.net/cover/106/806/10680683.jpg?type=m5
예술/대중문화,사진,사진작가/사진집,71,Disney The Art of 주토피아,제시카 줄리어스,"우리가 기다린 주토피아, 아트북으로 만나다!어린아이부터 전문가까지 남녀노소 모두가 기다린 『THE ART OF 주토피아』아트북. 영화 속 사랑스러운 캐릭터와 독특한 세계관으로 모두의 마음을 사로잡은 디즈니 애니메이션 주토피아의 아트북이다. 토끼와 여우를 친구로 만들 생각을 처음 한 사람, 모든 동물이 평등한 도시 ‘주토피아’의 각 구역의 탄생배경, 완성된 영화에 나오지 않아 제작진이 아쉬워한 캐릭터 등 애니메이션《주토피아》에 대한 궁금증을 해소시켜준다. 이 책에는 토끼 경찰관 주디 홉스부터 여우 사기꾼 닉 와일드, 나무늘보 플래시 등 영화 속 그리웠던 캐릭터와 기발한 아이디어로 설계된 동물 도시 주토피아의 곳곳을 담은 콘셉트 아트가 수록되어 있다. 아트 워크는 물론 제작 비하인드 스토리를 담은 제작진의 코멘..",https://bookthumb-phinf.pstatic.net/cover/105/279/10527915.jpg?type=m5
예술/대중문화,사진,사진작가/사진집,72,자취방 Her Own Room,박경인,〈자취방〉프로젝트는 그만의 시선으로 담은 평범하지만 특별하고 비밀스러운 '그녀들의 방'을 통해 여성의 매력을 발견할 수 있는 흥미로운 첫 결과물이다.,https://bookthumb-phinf.pstatic.net/cover/102/894/10289418.jpg?type=m5
예술/대중문화,사진,사진작가/사진집,73,그랜드 부다페스트 호텔,매트 졸러 세이츠,"‘앤더슨 터치’를 완벽하게 구현한 아트북!『그랜드 부다페스트 호텔』은 현대판 동화이자 환상적인 아트버스터 《그랜드 부다페스트 호텔》 세계의 창조자 웨스 앤더슨의 오리지널 아트북이다. 영화와 동명인 이 책은 웨스 앤더슨이 직접 참여하여 만든 유일한 아트북으로, 자신의 작품 세계의 정수를 고스란히 담아내어 소장 가치를 높였다. 일러스트레이터 막스 달튼의 표지와 촬영장 곳곳을 담은 사진들, 귀여운 캐릭터 일러스트, 드로잉, 모형, 우표 형식의 필모그래피, 레퍼런스 영화 카드, 다양한 아트워크 등 이전에 공개된 적 없는 볼거리가 250여 장에 걸쳐 풍성하게 수록되어 있다. 여기에 영화비평가이자 작가인 매트 졸러 세이츠가 진행한 웨스 앤더슨, 주연배우 랄프 파인스, 촬영 감독 로버트 D. 예오만, 프로덕션 디자이너 ..",https://bookthumb-phinf.pstatic.net/cover/100/860/10086025.jpg?type=m5
예술/대중문화,사진,사진작가/사진집,74,사진가의 작업노트 2,데이비드 두쉬민,"[사진가의 작업노트] 제2권은 카메라의 사용법뿐 아니라 강렬한 사진을 만드는 방법까지 배우기 위한 사진가 데이비드 두쉬민의 커리큘럼을 소개하는 책이다. 두쉬민은 60개의 레슨을 통해 예술적 도구의 효과적인 활용법을 알려주고, 더 깊은 시각적 경험을 제공하는 이미지를 만들기 위한 기반을 구축할 수 있도록 돕는다. 저자는 기술적인 면을 소개하고 재빨리 구도, 창작 과정 그리고 훌륭한 사진을 만들기 위한 필수 기본 요소들로 넘어간다. 그런 뒤 직접 연습해보고, 아름답고 강렬한 이미지를 만들기 위해 다른 접근 방식을 시도해볼 수 있도록 유도한다.",https://bookthumb-phinf.pstatic.net/cover/097/001/09700186.jpg?type=m5
예술/대중문화,사진,사진작가/사진집,75,비비안 마이어,"존 말루프, 엘리자베스 아베돈","이 책은 비비안 마이어가 남긴 가장 강렬하고 매력적인 자화상만을 엄선한 작품집이다. ‘원조 셀피’, ‘셀피의 여왕’이라는 평가를 받은 그녀는 15만 장의 필름 속에 자기 자신의 모습을 담은 자화상을 군데군데 숨겨놓았다. 비공개 원칙을 철저히 고수하면서 수많은 자화상 사진을 찍은 것은 미스터리 사진가 마이어다운 독특한 발상이다. 그녀의 셀프 포트레이트는 보는 이에게 감탄사를 연발하게 하는 강력한 힘을 지녔다. 순수한 실험 정신, 유머와 익살, 기존 문법의 거부, 우연의 일치, 기발한 상상력... 얼짱 각도를 찾는 세상 모든 셀피들에게 ‘진짜 셀피란 이런 것’임을 소리 없이 웅변한다.▶본 도서는 개인적인 앨범 느낌을 강조하기 위해 특별제작된 소장용 양장본으로, 천 느낌으로 책을 싼 후에 사진을 앞뒤로 붙였습니다..",https://bookthumb-phinf.pstatic.net/cover/092/536/09253686.jpg?type=m5
예술/대중문화,사진,사진작가/사진집,76,내가 찍고 싶은 사진,윤광준,"나만의 좋은 사진을 찍는 비밀!비슷해 보이는데 왜 어떤 사진에만 유독 눈이 갈까? 똑같은 장소에서 찍었는데 왜 전혀 다른 사진이 나올까? 손안에 스마트폰만 있으면 누구나 쉽게 사진 찍는 세상이다. 네이버 《오늘의 포토》는 대한민국의 수많은 사진 고수들의 응모작 중 매일 단 한 컷을 꼽는 코너로, 좋은 사진을 찍는 이들의 전시장이자 서로의 공감을 확인하는 축제의 장이다.『내가 찍고 싶은 사진』에는 《오늘의 포토》 선정작 137컷과 대한민국 사진 멘토 윤광준의 심사평을 9가지 유형으로 담았다.이 책은 잘 찍은 사진을 선정하는 데에만 그치지 않고, 어떤 사진이 좋은 사진인지, 어떻게 하면 이런 사진을 찍을 수 있는지를 일반인의 눈높이에 맞춰 쉽고 친절하게 알려준다. 좋은 사진을 찍으려면 좋은 사진을 볼 줄 아는 ..",https://bookthumb-phinf.pstatic.net/cover/092/035/09203529.jpg?type=m5
예술/대중문화,사진,사진작가/사진집,81,사진가의 작업노트 1,데이비드 두쉬민,"『사진가의 작업 노트』는 각 사진을 탄생시킨 아이디어와 컨셉트, 그리고 기술적 요소를 거쳐 최종 이미지에 도달하는 과정을 담은 책이다. 데이비드 두쉬민은 이 아름다운 책에서 베니스, 아이슬란드, 케냐, 남극에서 촬영한 네 개의 모노그래프를 소개한다. 각 30장의 사진 시리즈 뒤에는 촬영 과정을 통해 프로젝트에 담긴 의도에 대해 논하고, 각 사진마다의 촬영 동기와 구성 요소 혹은 후작업에 대해 설명한다.",https://bookthumb-phinf.pstatic.net/cover/089/425/08942560.jpg?type=m5
예술/대중문화,사진,사진작가/사진집,82,비비안 마이어,"비비안 마이어, 존 말루프, 마빈 하이퍼만","보모로 산 천재 포토그래퍼, 비비안 마이어의 놀라운 이야기40년간 보모와 가정부로 살다간 이름 없는 여인이 있었다. 그녀는 언제나 롤라이플렉스 카메라를 목에 걸고 거리에 나가 사진을 찍었지만 현상할 형편이 못 되어 필름채로 보관하였다. 그러던 2007년 경매로 나온 필름박스를 단 돈 400달러에 사들인 역사가가 있었다. 사진을 현상한 그는 사진의 범상치 않은 예술성에 놀라 SNS에 올렸고 이 무명의 사진가에게 매료된 사람들은 ‘좋아요’를 누르기 시작했다. 죽은 지 얼마 되지 않아 유명세를 탄 그녀의 사진은 미국, 영국, 덴마트 등을 순회하며 대중을 사랑을 받고 있다. 바로 천재 포토그래퍼 비비안 마이어의 이야기다. 『비비안 마이어 나는 카메라다』는 그녀의 신비로운 삶을 역추적하며 작품세계를 조명한 사진집이다..",https://bookthumb-phinf.pstatic.net/cover/088/434/08843482.jpg?type=m5
예술/대중문화,사진,사진작가/사진집,83,사진이 달라지는 아이디어 100,문철진,"좋은 사진을 위한 100가지 키워드!『사진이 달라지는 아이디어 100』은 《멋진 사진 레시피 69》와 《사진초보 탈출 프로젝트 30DAYS》의 저자 문진철이 초보 사진가들을 위한 기본기에서 더 나아가 자유롭게 좋은 사진 찍는 법을 알려준다. 100가지의 아이디어를 담은 짧은 글과 사진 한 장으로 구성되어있지만 사진을 대하는 마음가짐에 대해 표지판을 제공한다.이 책은 사진을 대하는 마음가짐부터 여행 시 남들과 다른 사진을 찍는 다양한 방법, 일상 공간에서 새로운 사진을 찍을 수 있는 방법 등 주변에서 직접 적용할 수 있는방법과 기본기를 위한 팁까지 총 100가지 아이디어로 구성되어 있다. 또한 다시 주제별로 찾아볼 수 있도록 본문 뒤에 ‘찾아보기’를 수록하였다.",https://bookthumb-phinf.pstatic.net/cover/083/149/08314997.jpg?type=m5
예술/대중문화,사진,사진작가/사진집,84,휴먼스 오브 뉴욕,브랜던 스탠턴,"뉴요커들 사진 속 진솔한 그들의 이야기를 담다『휴먼스 오브 뉴욕』은 뉴욕 채권중개인 출신 사진작가 브랜던 스탠턴의 개인 페이스북 앨범으로 시작한 ‘HUMANS OF NEW YORK’ 일명 HONY에 담은 사진 가운데 가장 인상 깊은 초상과 이야기를 담은 400여장을 실은 책이다. 독특하고 유쾌한 거리의 뉴요커들을 만나 그들과 진솔한 이야기를 들으며 바쁘게 살아가느랴 잊고 지냈던 사람에 대한 고마움, 인간 본연의 감정을 깨우며 마음속 깊은 울림을 전한다.이 책에 실린 400여 장의 사진은 작가가 약 3년간 수천 킬로미터를 걸으며 1만 명이 넘는 사람들을 만나 찍은 사진 중 가장 인상 깊은 사진으로 구성되었다. 발레리나를 포기하고 서커스 곡예사가 되기로 한 여성, 우주복을 입고 지하철을 타는 남성, 부모님의 반..",https://bookthumb-phinf.pstatic.net/cover/074/613/07461395.jpg?type=m5
예술/대중문화,사진,사진작가/사진집,85,제7의 인간,"존 버거, 장 모르","소설가 이자 극작가 그리고 다큐멘터리 작가인 존 버거가 유럽 이민노동자들의 대하여 이야기 하였다. 그는 이민노동자의 경험의 윤곽 그리고, 그것을 그 노동자를 둘러싸고 있는 물리적인, 그리고 역사적인 상황과 관련시켜 세계의 정치적 현실을 파악해 부자유에 문제에 대하여 다룬다. 부자유는 객관적인 경제제도와 그안에 갇혀 있는 이들의 주관적인 경험을 연관시켜야만 완전하게 인식될 수 있다는 것을 장 모르 가 몇 년간의 세월을 두고 촬영한 사진들과 함께 이야기 하였다.",https://bookthumb-phinf.pstatic.net/cover/001/858/00185808.jpg?type=m5
예술/대중문화,사진,사진작가/사진집,86,나는 찍는다 스마트폰으로,한창민,"스마트폰으로 나만의 멋진 사진을 찍는다!폰카의 새 역사를 쓰는『나는 찍는다 스마트폰으로』. 스마트폰 사진가 한창민의 절묘한 사진 200점이 넘는 작품과 스마트폰으로 멋진 사진 찍기 위한 기본기를 담은 책이다. 2013년 《한창민 사진전_지난 일년》을 통해 스포트라이트를 받은 저자의 사진전은 천 명이 넘는 관객이 몰려들며 사회 문화적으로 큰 반향을 일으켰다. 그는 이 책을 통해 그의 경험을 통한 사진에 실질적 도움과 사진을 찍어 온 지난 1년간의 기록을 되돌아 본다.총 세 개의 장으로 구성되어 있으며 첫 번째 장에선 스마트폰 카메라이 사용법을 알려주고 있다. 초점과 노출, 셔터와 플래시 파노라마까지 쉽지만 만만치 않은 스마트 카메라의 기본기를 익힐 수 있으며 저자의 200여 점의 작품 사진들도 함께 수록되어 ..",https://bookthumb-phinf.pstatic.net/cover/074/148/07414865.jpg?type=m5
